completion_year,location,property_type,rooms,parking,bathroom,size_sqft,furnished,nearby_railways
2018.0,Melawati,Service Residence,2.0,2.0,2.0,836,Partially Furnished,no
,Cheras,Condominium,3.0,1.0,2.0,1025,Fully Furnished,yes
2015.0,Ampang,Service Residence,1.0,1.0,1.0,520,Fully Furnished,yes
2020.0,Kepong,Apartment,3.0,1.0,2.0,800,Partially Furnished,yes
,Cheras,Apartment,3.0,1.0,2.0,1185,Partially Furnished,yes
2017.0,Sentul,Condominium,3.0,2.0,3.0,1186,Fully Furnished,no
2006.0,City,Condominium,3.0,,2.0,1367,Fully Furnished,yes
2017.0,Road,Service Residence,3.0,1.0,2.0,807,Partially Furnished,no
2016.0,City,Service Residence,1.0,1.0,1.0,533,Fully Furnished,yes
2016.0,Lama,Condominium,3.0,,2.0,935,Fully Furnished,yes
,Jalil,Apartment,3.0,,2.0,1200,Fully Furnished,
,Bintang,Condominium,3.0,1.0,3.0,1371,Partially Furnished,yes
2012.0,Ismail,Service Residence,1.0,,1.0,500,Fully Furnished,no
2001.0,Ampang,Condominium,2.0,1.0,2.0,1000,Not Furnished,no
,Cheras,Apartment,2.0,,2.0,650,Partially Furnished,yes
1998.0,Cheras,Condominium,3.0,1.0,2.0,950,Fully Furnished,yes
2021.0,KLCC,Service Residence,1.0,,1.0,454,Fully Furnished,yes
2017.0,Maju,Condominium,3.0,1.0,2.0,770,Partially Furnished,no
,Setapak,Condominium,3.0,1.0,2.0,800,Partially Furnished,no
,Ipoh,Condominium,3.0,,2.0,1068,Partially Furnished,yes
2021.0,Setapak,Service Residence,4.0,2.0,2.0,1000,Not Furnished,yes
,ParkCity,Condominium,3.0,,2.0,862,Partially Furnished,
,Maju,Condominium,4.0,1.0,2.0,1900,Partially Furnished,
2007.0,Bintang,Service Residence,1.0,1.0,1.0,475,Fully Furnished,yes
,Kuching,Condominium,3.0,1.0,2.0,927,Not Furnished,no
2019.0,KLCC,Service Residence,3.0,,2.0,818,Fully Furnished,yes
,Ampang,Apartment,3.0,,2.0,860,Not Furnished,
,Cheras,Flat,3.0,,2.0,750,Not Furnished,yes
2007.0,Kepong,Condominium,3.0,,2.0,1050,Fully Furnished,yes
,Kepong,Apartment,3.0,,2.0,900,Fully Furnished,yes
